Albany, New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1930-2000
Missing: -99
Date,Value,Anomaly
191706,64.7,-2.3
191707,71.4,-0.4
191708,70.9,1.3
191709,58.5,-3.1
191710,46.3,-4.2
191711,33.4,-6.1
191712,15.2,-12.0
191801,12.0,-10.2
191802,20.1,-4.2
191803,33.2,-0.9
191804,44.7,-1.8
191805,61.4,3.3
191806,62.7,-4.3
191807,69.9,-1.9
191808,70.6,1.0
191809,57.0,-4.6
191810,52.0,1.5
191811,40.3,0.8
191812,30.2,3.0
191901,27.5,5.3
191902,27.4,3.1
191903,34.9,0.8
191904,43.3,-3.2
191905,56.7,-1.4
191906,69.1,2.1
191907,71.2,-0.6
191908,66.3,-3.3
191909,60.8,-0.8
191910,51.6,1.1
191911,37.9,-1.6
191912,21.1,-6.1
192001,12.1,-10.1
192002,19.6,-4.7
192003,32.0,-2.1
192004,42.4,-4.1
192005,55.3,-2.8
192006,64.6,-2.4
192007,68.0,-3.8
192008,70.0,0.4
192009,62.4,0.8
192010,55.6,5.1
192011,36.3,-3.2
192012,29.9,2.7
192101,25.4,3.2
192102,25.8,1.5
192103,40.7,6.6
192104,51.3,4.8
192105,58.9,0.8
192106,66.4,-0.6
192107,74.5,2.7
192108,66.8,-2.8
192109,65.4,3.8
192110,49.8,-0.7
192111,36.7,-2.8
192112,24.3,-2.9
192201,18.2,-4.0
192202,24.7,0.4
192203,34.6,0.5
192204,45.7,-0.8
192205,59.9,1.8
192206,66.9,-0.1
192207,70.0,-1.8
192208,67.5,-2.1
192209,62.3,0.7
192210,49.9,-0.6
192211,38.7,-0.8
192212,25.4,-1.8
192301,17.3,-4.9
192302,16.4,-7.9
192303,27.4,-6.7
192304,43.8,-2.7
192305,54.6,-3.5
192306,67.2,0.2
192307,68.3,-3.5
192308,66.8,-2.8
192309,61.7,0.1
192310,48.9,-1.6
192311,37.2,-2.3
192312,34.1,6.9
192401,24.7,2.5
192402,16.7,-7.6
192403,32.6,-1.5
192404,42.9,-3.6
192405,52.2,-5.9
192406,63.5,-3.5
192407,69.8,-2.0
192408,68.4,-1.2
192409,57.8,-3.8
192410,49.2,-1.3
192411,38.0,-1.5
192412,24.2,-3.0
192501,16.1,-6.1
192502,28.9,4.6
192503,36.9,2.8
192504,45.9,-0.6
192505,52.5,-5.6
192506,68.8,1.8
192507,68.3,-3.5
192508,68.2,-1.4
192509,60.3,-1.3
